step_id,type,title,description,classification
68,ACTION,Implement Network Segmentation,Segment the network to limit the spread of potential threats.,Service Task
70,ACTION,Deploy Application Control Software,Deploy application control software to limit the applications and executable code that can be run by users.,Service Task
71,ACTION,Restrict Email Attachments and Downloads,Limit email attachments and files downloaded via links in emails to prevent executable code from running.,Service Task
72,ACTION,Enable Antivirus and Anti-malware Software,Enable antivirus and anti-malware software and update signature definitions in a timely manner to prevent use of commonly deployed attacker tools.,Service Task
73,ACTION,Implement Multifactor Authentication,"Use multifactor authentication where possible, particularly for webmail, virtual private networks, and accounts that access critical systems.",Service Task
74,ACTION,Limit Administrator Privileges,Limit the use of administrator privileges to reduce the risk of lateral movement and access to sensitive information.,Service Task
76,ACTION,Adopt Threat Reputation Services,"Adopt threat reputation services at the network device, operating system, application, and email service levels to detect or prevent low-reputation email addresses, files, URLs, and IP addresses used in spearphishing attacks.",Service Task
77,ACTION,Install Updates and Patches,"Install updates/patch operating systems, software, and firmware as soon as updates/patches are released. Prioritize patching known exploited vulnerabilities.",Service Task
80,ACTION,Implement Network Segmentation and Access Control,Ensure network segmentation and configure network-based ACLs to permit connectivity via the minimum scope of ports and protocols.,Service Task
81,ACTION,Enforce Multifactor Authentication and Least Privilege,Require multifactor authentication for interactive logons and ensure least privilege for enterprise systems.,Service Task
82,ACTION,Audit and Review Security Logs,Audit and review security logs for anomalous references to administrative and service accounts.,Service Task
83,ACTION,Stage and Monitor Patch and AV Signature Distribution,Stage patch and AV signature distribution to minimize impact and monitor integrity of updates.,Service Task
86,ACTION,Containment Strategies for Destructive Malware,"Implement containment strategies to reduce the scope of affected systems, such as isolating systems and disabling access for suspected accounts.",Service Task
88,ACTION,Enforce Multi-Factor Authentication (MFA),"Enforce MFA for all users, without exception. Review configuration policies to protect against 'fail open' and re-enrollment scenarios.",Service Task
89,ACTION,Implement Account Security Measures,Implement time-out and lock-out features for repeated failed login attempts. Ensure inactive accounts are disabled uniformly across systems.,Service Task
90,ACTION,Update Software and Patch Vulnerabilities,"Update software, including operating systems, applications, and firmware. Prioritize patching known exploited vulnerabilities, especially critical and high vulnerabilities.",Service Task
91,ACTION,Enforce Strong Password Policies,"Require all accounts with password logins to have strong, unique passwords. Ensure passwords are not reused across multiple accounts or stored insecurely.",Service Task
92,ACTION,Monitor Network Logs,Continuously monitor network logs for suspicious activity and unauthorized or unusual login attempts.,Service Task
93,ACTION,Implement Security Alerting Policies,Implement security alerting policies for changes to security-enabled accounts/groups and alert on suspicious process creation events.,Service Task
94,ACTION,Deploy Local Administrator Password Solution (LAPS),"Deploy LAPS, enforce SMB Signing, restrict administrative privileges, and review sensitive materials on domain controller’s SYSVOL share.",Service Task
95,ACTION,Enable Increased Logging and EDR,"Enable increased logging policies, enforce PowerShell logging, and ensure antivirus/EDR are deployed to all endpoints and enabled.",Service Task
96,ACTION,Monitor Remote Access Logs,Monitor remote access/RDP logs and disable unused remote access/RDP ports.,Service Task
97,ACTION,Deny Atypical Inbound Activity,"Deny atypical inbound activity from known anonymization services, including commercial VPN services and TOR.",Service Task
98,ACTION,Implement Application Whitelisting,Implement listing policies for applications and remote access that only allow execution of known and permitted programs.,Service Task
100,ACTION,Update Remote Work Environment Devices,"Regularly update VPNs, network infrastructure devices, and devices used for remote work environments with the latest software patches and security configurations.",Service Task
101,ACTION,Implement MFA on VPN Connections,Implement multi-factor authentication on all VPN connections. Use physical security tokens or authenticator applications when possible.,Service Task
102,ACTION,Monitor Network Traffic for Unapproved Protocols,Monitor network traffic for unapproved and unexpected protocols. Reduce potential attack surfaces by discontinuing unused VPN servers.,Service Task
106,ACTION,Implement Additional Monitoring for SATCOM Network Providers,"Put in place additional monitoring at ingress and egress points to SATCOM equipment to look for anomalous traffic, such as insecure remote access tools, unexpected network traffic, unauthorized account usage, and brute force login attempts.",Service Task
107,ACTION,Use Secure Authentication Methods,"Use secure methods for authentication, including multifactor authentication where possible, for all accounts used to access, manage, and/or administer SATCOM networks.",Service Task
109,ACTION,Audit Accounts and Credentials,Audit accounts and credentials: remove terminated or unnecessary accounts; change expired credentials.,Service Task
110,ACTION,Enforce Principle of Least Privilege,Enforce principle of least privilege through authorization policies. Minimize unnecessary privileges for identities.,Service Task
113,ACTION,Implement Independent Encryption,"Implement independent encryption across all communications links leased from, or provided by, your SATCOM provider.",Service Task
114,ACTION,Strengthen Security of Systems,"Strengthen the security of operating systems, software, and firmware. Ensure robust vulnerability management and patching practices are in place.",Service Task
115,ACTION,Implement Configuration Management Programs,Implement rigorous configuration management programs. Regularly audit system configurations for misconfigurations and security weaknesses.,Service Task
116,ACTION,Monitor Network Logs for Suspicious Activity,Monitor network logs for suspicious activity and unauthorized or unusual login attempts. Integrate SATCOM traffic into existing network security monitoring tools.,Service Task
117,ACTION,Review Logs of Systems Behind SATCOM Terminals,Review logs of systems behind SATCOM terminals for suspicious activity. Ingest system and network generated logs into your enterprise security information and event management (SIEM) tool.,Service Task
118,ACTION,Implement Endpoint Detection and Response (EDR) Tools,"Implement endpoint detection and response (EDR) tools where possible on devices behind SATCOM terminals, and ingest into the SIEM.",Service Task
119,ACTION,Expand and Enhance Monitoring of SATCOM Network Segments,Expand monitoring to include ingress and egress traffic transiting SATCOM links and monitor for suspicious or anomalous network activity.,Service Task
120,ACTION,Baseline SATCOM Network Traffic,"Baseline SATCOM network traffic to determine what is normal and investigate deviations, such as large spikes in traffic.",Service Task
123,ACTION,Manage Privileged Accounts,"Manage the creation, modification, use, and permissions associated with privileged accounts, including SYSTEM and root.",Service Task
124,ACTION,Enforce Secure Password Policies,Set and enforce secure password policies for accounts.,Service Task
125,ACTION,Remove Unnecessary Software,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,Service Task
126,ACTION,Perform System Audits,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc., to identify potential weaknesses.",Service Task
127,ACTION,Make Configuration Changes for System Hardening,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.,Service Task
128,ACTION,Enforce Multifactor Authentication (MFA),Enforce MFA by requiring users to provide two or more pieces of information to authenticate to a system.,Service Task
129,ACTION,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.,Service Task
131,ACTION,Use DMZ for Internet-facing Services,Use a demilitarized zone (DMZ) to contain any internet-facing services that should not be exposed from the internal network.,Service Task
132,ACTION,Prevent Access to Unnecessary Services,"Prevent access to file shares, remote access to systems, and unnecessary services using network concentrators, RDP gateways, etc.",Service Task
133,ACTION,Block Code Execution,"Block execution of code on a system through application control, and/or script blocking.",Service Task
134,ACTION,Update All Software,Update all software to the latest versions to ensure security patches are applied.,Service Task
135,ACTION,Implement Network Segmentation,Implement robust network segmentation between IT and ICS networks to limit lateral movement.,Service Task
137,ACTION,Apply Further Segmentation,Apply further segmentation to portions of the network that are reliant on one another by functionality.,Service Task
138,ACTION,Use One-way Communication Diodes,"Use one-way communication diodes to prevent external access, whenever possible.",Service Task
139,ACTION,Set Up DMZs,Set up DMZs to create a physical and logical subnetwork that acts as an intermediary for connected security devices.,Service Task
140,ACTION,Employ Reliable Network Security Protocols,Employ reliable network security protocols and services where feasible.,Service Task
141,ACTION,Use VLANs for Additional Segmentation,"Consider using VLANs for additional network segmentation, such as placing all printers in separate VLANs.",Service Task
142,ACTION,Implement Perimeter Security,Implement perimeter security between network segments to limit lateral movement.,Service Task
143,ACTION,Control Traffic Between Network Segments,"Control traffic between network segments using firewalls, IDSs, and filtering rules on routers and switches.",Service Task
144,ACTION,Implement Network Monitoring,Implement network monitoring at key chokepoints and at key assets or services.,Service Task
145,ACTION,Configure IDS for ICS Traffic,Configure an IDS to create alarms for any ICS traffic outside normal operations.,Service Task
146,ACTION,Configure Security Incident and Event Monitoring,Configure security incident and event monitoring to analyze and correlate event logs from across the ICS network.,Service Task
148,ACTION,Implement Application Allow Listing,Implement application allow listing on human machine interfaces and engineering workstations.,Service Task
149,ACTION,Harden Software Configuration on Field Devices,"Harden software configuration on field devices, including tablets and smartphones.",Service Task
151,ACTION,Disable Unused Ports and Services,Disable unused ports and services on ICS devices after testing to ensure this will not affect ICS operation.,Service Task
152,ACTION,Restrict and Manage Remote Access Software,Restrict and manage remote access software.,Service Task
153,ACTION,Enforce MFA for Remote Access,Enforce MFA for remote access to ICS networks.,Service Task
154,ACTION,Configure Encryption for Network Protocols,Configure encryption and security for network protocols within the ICS environment.,Service Task
156,ACTION,Disallow Transient Device Communication,Disallow any devices that do not live solely on the ICS environment from communicating on the platform.,Service Task
158,ACTION,Maintain Robust Host Logging,Maintain robust host logging on critical devices within the ICS environment.,Service Task
161,ACTION,Isolate ICS/SCADA Systems,"Isolate ICS/SCADA systems and networks from corporate and internet networks using strong perimeter controls, and limit any communications entering or leaving ICS/SCADA perimeters.",Service Task
162,ACTION,Enforce Multifactor Authentication,Enforce multifactor authentication for all remote access to ICS networks and devices whenever possible.,Service Task
165,ACTION,Configure OPC UA Security,Ensure OPC UA security is correctly configured with application authentication enabled and explicit trust lists.,Service Task
168,ACTION,Limit Network Connections,Limit ICS/SCADA systems’ network connections to only specifically allowed management and engineering workstations.,Service Task
169,ACTION,Protect Management Systems,"Robustly protect management systems by configuring Device Guard, Credential Guard, and Hypervisor Code Integrity (HVCI).",Service Task
170,ACTION,Install EDR Solutions,Install Endpoint Detection and Response (EDR) solutions on these subnets and ensure strong anti-virus file reputation settings are configured.,Service Task
171,ACTION,Implement Log Collection and Retention,Implement robust log collection and retention from ICS/SCADA systems and management subnets.,Service Task
172,ACTION,Leverage Continuous OT Monitoring,"Leverage a continuous OT monitoring solution to alert on malicious indicators and behaviors, watching internal systems and communications for known hostile actions and lateral movement.",Service Task
173,ACTION,Use ICSNPP for Enhanced Network Visibility,"For enhanced network visibility to potentially identify abnormal traffic, consider using CISA’s open-source Industrial Control Systems Network Protocol Parsers (ICSNPP).",Service Task
176,ACTION,Monitor for Unusual Drivers,"Monitor systems for loading of unusual drivers, especially for ASRock driver if no ASRock driver is normally used on the system.",Service Task
178,ACTION,Implement Network Segmentation,Use network segmentation to separate networks into zones based on roles and requirements to prevent lateral movement and limit the attack surface.,Service Task
179,ACTION,Implement Patch Management Program,"Establish a timely vulnerability and patch management program to mitigate exposure to critical CVEs, prioritizing patching of internet-facing devices.",Service Task
180,ACTION,Enforce Credential Requirements and MFA,Ensure users change passwords regularly and implement multifactor authentication (MFA) to reduce the risk of credential theft.,Service Task
182,ACTION,Implement Email and Domain Mitigations,Maintain awareness of themed emails and have a robust domain security solution to monitor or block newly registered domains (NRDs).,Service Task
183,ACTION,Disable HTML in Emails and Scan Attachments,Disable HTML in emails and scan email attachments to detect potentially malicious payloads.,Service Task
184,ACTION,Implement Endpoint Protection,Ensure mobile devices have installed security suites to detect and mitigate malware.,Service Task
185,ACTION,Enforce Application Security with Allowlisting,Use application allowlisting to monitor programs and only allow those on the approved allowlist to execute.,Service Task
186,ACTION,Disable Macros in Office Products,"Configure office products to disable macros that originate from outside the organization, using Group Policy Administrative Templates.",Service Task
189,ACTION,Scan Hyperlinks in Emails,Scan hyperlinks in emails and open them with precautionary measures to reduce the likelihood of clicking on a malicious link.,Service Task
190,ACTION,Configure Macro Security Level in Productivity Software,Set the Macro Security Level in productivity software like LibreOffice and OpenOffice to block unauthorized macros.,Service Task
191,ACTION,Update Software,"Update software, including operating systems, applications, and firmware on IT network assets. Prioritize patching known exploited vulnerabilities and critical and high vulnerabilities that allow for remote code execution or denial-of-service on internet-facing equipment. Consider using a centralized patch management system.",Service Task
192,ACTION,Enforce Multi-Factor Authentication (MFA),"Enforce MFA to the greatest extent possible and require accounts with password logins, including service accounts, to have strong passwords. Review configuration policies to protect against 'fail open' and re-enrollment scenarios.",Service Task
193,ACTION,Secure and Monitor RDP and Risky Services,"Secure and monitor RDP and other potentially risky services. Limit access to resources over internal networks, especially by restricting RDP and using virtual desktop infrastructure. If RDP is necessary, restrict the originating sources and require MFA. Use a VPN for external RDP access. Monitor remote access/RDP logs and enforce account lockouts.",Service Task
195,ACTION,Update Software and Systems,"Update software, operating systems, applications, and firmware on IT network assets in a timely manner. Prioritize patching known exploited vulnerabilities, especially those CVEs identified in this CSA, and then critical and high vulnerabilities that allow for remote code execution or denial-of-service on internet-facing equipment.",Service Task
196,ACTION,Apply Available Patches,Apply patches for known exploited or critical vulnerabilities as soon as they are available.,Service Task
198,ACTION,Use Centralized Patch Management System,Use a centralized patch management system to manage and automate the patching process.,Service Task
202,ACTION,Enforce Multifactor Authentication (MFA),"Enforce multifactor authentication (MFA) for all users, without exception, and on all VPN connections. If MFA is unavailable, require employees engaging in remote work to use strong passwords.",Service Task
204,ACTION,Ensure Least Privilege for Software Service Accounts,Ensure software service accounts only provide necessary permissions (least privilege) to perform intended functions (non-administrative privileges).,Service Task
205,ACTION,Configure and Secure Internet-Facing Network Devices,"Properly configure and secure internet-facing network devices, disable unused or unnecessary network ports and protocols, encrypt network traffic, and disable unused network services and devices.",Service Task
206,ACTION,Harden Enterprise Network Services,"Harden commonly exploited enterprise network services, including LLMNR, RDP, CIFS, Active Directory, and OpenLDAP.",Service Task
207,ACTION,Manage Windows KDC Accounts,"Manage Windows Key Distribution Center (KDC) accounts (e.g., KRBTGT) to minimize Golden Ticket attacks and Kerberoasting.",Service Task
208,ACTION,Control Use of Native Scripting Applications,"Strictly control the use of native scripting applications, such as command-line, PowerShell, WinRM, WMI, and DCOM.",Service Task
209,ACTION,Segment Networks and Monitor Attack Surface,"Segment networks to limit or block lateral movement by controlling access to applications, devices, and databases. Use private virtual local area networks. Continuously monitor the attack surface and investigate abnormal activity.",Service Task
210,ACTION,Use Security Tools,"Use security tools, such as endpoint detection and response (EDR) and security information and event management (SIEM) tools. Consider using an IT asset management (ITAM) solution to ensure your EDR, SIEM, vulnerability scanner etc., are reporting the same number of assets.",Service Task
211,ACTION,Monitor for Potentially Unwanted Programs,Monitor the environment for potentially unwanted programs.,Service Task
212,ACTION,Implement Application Allowlisting,Implement application allowlisting to control which applications can run on the network.,Service Task
213,ACTION,Upgrade F5 BIG-IP Software,Upgrade F5 BIG-IP software to supported versions to mitigate vulnerabilities.,Service Task
214,ACTION,Upgrade F5 BIG-IP Software to Fixed Versions,Upgrade F5 BIG-IP software to fixed versions as recommended by CISA and MS-ISAC.,Service Task
215,ACTION,Block iControl REST Access Through Self IP Address,Implement F5's temporary workaround to block iControl REST access through the self IP address.,Service Task
216,ACTION,Block iControl REST Access Through Management Interface,Implement F5's temporary workaround to block iControl REST access through the management interface.,Service Task
217,ACTION,Modify BIG-IP httpd Configuration,Modify the BIG-IP httpd configuration as per F5's temporary workaround guidelines.,Service Task
220,ACTION,Configure and Secure Internet-Facing Network Devices,Properly configure and secure internet-facing network devices to reduce risk of compromise.,Service Task
221,ACTION,Do Not Expose Management Interfaces to the Internet,Ensure management interfaces are not exposed to the internet to reduce risk of compromise.,Service Task
222,ACTION,Disable Unused Network Ports and Protocols,Disable unused or unnecessary network ports and protocols to reduce risk of compromise.,Service Task
223,ACTION,Remove Unused Network Services and Devices,Disable or remove unused network services and devices to reduce risk of compromise.,Service Task
224,ACTION,Adopt Zero-Trust Principles and Architecture,"Adopt zero-trust principles and architecture, including micro-segmenting networks and functions to limit or block lateral movements.",Service Task
225,ACTION,Enforce Multifactor Authentication (MFA),Enforce MFA for all users and VPN connections to enhance security.,Service Task
226,ACTION,Restrict Access to Trusted Devices and Users,Restrict access to trusted devices and users on the networks to enhance security.,Service Task
229,ACTION,Implement Network Segmentation and Offline Backups,Segment the network and maintain offline backups of data to ensure limited interruption to the organization.,Service Task
230,ACTION,Regular Data Backup,Regularly back up data and password protect backup copies offline. Ensure copies of critical data are not accessible for modification or deletion from the system where the data resides.,Service Task
231,ACTION,Install and Update Antivirus Software,Install and regularly update antivirus software on all hosts and enable real-time detection.,Service Task
232,ACTION,Install Updates and Patches,"Install updates/patch operating systems, software, and firmware as soon as updates/patches are released.",Service Task
234,ACTION,Disable Unused Ports,Disable unused ports to reduce potential attack vectors.,Service Task
235,ACTION,Add Email Banner for External Emails,Consider adding an email banner to emails received from outside your organization.,Service Task
236,ACTION,Disable Hyperlinks in Emails,Disable hyperlinks in received emails to prevent phishing attacks.,Service Task
237,ACTION,Enforce Multi-Factor Authentication,Implement multi-factor authentication to enhance security.,Service Task
240,ACTION,Store Passwords in Hashed Format,Store passwords in hashed format using industry-recognized password managers.,Service Task
241,ACTION,Add Password User Salts,Add password user “salts” to shared login credentials.,Service Task
243,ACTION,Implement Account Lockouts,Implement multiple failed login attempt account lockouts.,Service Task
244,ACTION,Disable Password Hints,Disable password “hints” to prevent unauthorized access.,Service Task
245,ACTION,Limit Password Change Frequency,Refrain from requiring password changes more frequently than once per year.,Service Task
246,ACTION,Require Administrator Credentials for Software Installation,Require administrator credentials to install software.,Service Task
249,ACTION,Keep Systems Updated and Patched,Ensure all systems and products are updated and patched as soon as possible after patches are released. Consider using a centralized patch management system to automate and expedite the process.,Service Task
251,ACTION,Segment Networks,Segment networks to limit or block lateral movement.,Service Task
252,ACTION,Disable Unused Network Services,"Disable unused or unnecessary network services, ports, protocols, and devices.",Service Task
253,ACTION,Enforce Multifactor Authentication (MFA),"Enforce MFA for all users, without exception, and on all VPN connections. If MFA is unavailable, enforce password complexity requirements.",Service Task
254,ACTION,Implement Strict Password Requirements,"Implement strict password requirements, enforcing password complexity, changing passwords at a defined frequency, and performing regular account reviews to ensure compliance.",Service Task
255,ACTION,Perform Regular Data Backup,Perform regular data backup procedures and maintain up-to-date incident response and recovery procedures.,Service Task
256,ACTION,Disable External Management Capabilities,Disable external management capabilities and set up an out-of-band management network.,Service Task
257,ACTION,Isolate Internet-facing Services,Isolate Internet-facing services in a network Demilitarized Zone (DMZ) to reduce the exposure of the internal network.,Service Task
258,ACTION,Enable Robust Logging for Internet-facing Services,Enable robust logging of Internet-facing services and monitor the logs for signs of compromise.,Service Task
260,ACTION,Enable Robust Logging and Review of Network Infrastructure,"Enable robust logging and review of network infrastructure accesses, configuration changes, and critical infrastructure services performing authentication, authorization, and accounting functions.",Service Task
262,ACTION,Enforce Password Complexity Requirements,"If MFA is unavailable, enforce password complexity requirements.",Service Task
265,ACTION,Set Up Out-of-band Management Network,Set up an out-of-band management network to enhance security.,Service Task
266,ACTION,Monitor Logs for Signs of Compromise,Monitor logs for signs of compromise to detect potential security incidents.,Service Task
268,ACTION,Apply Updates to VMware Horizon and UAG Systems,Install updated builds to ensure affected VMware Horizon and UAG systems are updated to the latest version.,Service Task
271,ACTION,Implement Temporary Workarounds,Use vendor-provided temporary workarounds from KB87073 and KB87092 if upgrading is not immediately feasible. Implement using an account with administrative privileges.,Service Task
273,ACTION,Verify Successful Implementation of Mitigations,Execute the vendor supplied script Horizon_Windows_Log4j_Mitigations.zip without parameters to ensure that no vulnerabilities remain.,Service Task
274,ACTION,Keep Software Up to Date,Keep all software up to date and prioritize patching known exploited vulnerabilities (KEVs).,Service Task
275,ACTION,Minimize Internet-Facing Attack Surface,"Host essential services on a segregated DMZ, ensure strict network perimeter access controls, and do not host internet-facing services non-essential to business operations.",Service Task
276,ACTION,Implement Web Application Firewalls (WAFs),Implement regularly updated WAFs in front of public-facing services to protect against web-based exploitation.,Service Task
277,ACTION,Use Best Practices for Identity and Access Management,"Implement multifactor authentication (MFA), enforce use of strong passwords, and limit user access through the principle of least privilege.",Service Task
278,ACTION,Implement Data Recovery Plan,"Maintain and retain multiple copies of sensitive or proprietary data and servers in a physically separate, segmented, and secure location.",Service Task
280,ACTION,Regular Data Backup and Protection,Regularly back up data and password protect backup copies stored offline. Ensure copies of critical data are not accessible for modification or deletion from the system where the data resides.,Service Task
281,ACTION,Install and Update Antivirus Software,"Install, regularly update, and enable real-time detection for antivirus software on all hosts.",Service Task
282,ACTION,Install System Updates,"Install updates for operating systems, software, and firmware as soon as possible.",Service Task
283,ACTION,Review for Unrecognized Accounts,"Review domain controllers, servers, workstations, and active directories for new and/or unrecognized accounts.",Service Task
284,ACTION,Audit Administrative User Accounts,Audit user accounts with administrative privileges and configure access controls according to the principle of least privilege.,Service Task
285,ACTION,Disable Unused Ports,Disable unused ports to reduce potential attack vectors.,Service Task
286,ACTION,Add Email Banner for External Emails,Consider adding an email banner to emails received from outside your organization.,Service Task
287,ACTION,Disable Hyperlinks in Emails,Disable hyperlinks in received emails to prevent phishing attacks.,Service Task
288,ACTION,Enforce Multifactor Authentication (MFA),Enforce multifactor authentication to enhance security.,Service Task
290,ACTION,Require Administrator Credentials for Software Installation,Require administrator credentials to install software to prevent unauthorized installations.,Service Task
295,ACTION,Store Passwords in Hashed Format,Store passwords in hashed format using industry-recognized password managers.,Service Task
296,ACTION,Add Password User 'Salts',Add password user 'salts' to shared login credentials to enhance security.,Service Task
298,ACTION,Implement Account Lockouts for Failed Login Attempts,Implement multiple failed login attempt account lockouts to prevent unauthorized access.,Service Task
299,ACTION,Disable Password Hints,Disable password hints to prevent attackers from gaining clues about passwords.,Service Task
301,ACTION,Deploy Public Key Infrastructure,"Deploy public key infrastructure and digital certificates to authenticate connections with the network, IoT medical devices, and the electronic health record system.",Service Task
303,ACTION,Turn Off Network Device Management Interfaces,"Turn off network device management interfaces such as Telnet, SSH, Winbox, and HTTP for WANs and secure with strong passwords and encryption when enabled.",Service Task
304,ACTION,Secure PII/PHI,Secure personal identifiable information (PII)/patient health information (PHI) at collection points and encrypt the data at rest and in transit using technologies such as TLS.,Service Task
305,ACTION,Protect Stored Data,Protect stored data by masking the permanent account number (PAN) when displayed and rendering it unreadable when stored through cryptography.,Service Task
307,ACTION,Use Monitoring Tools for IoT Devices,Use monitoring tools to observe whether IoT devices are behaving erratically due to a compromise.,Service Task
