step_id,type,title,description,playbook
21,ACTION,Reduce Credential Exposure,Enforce credential protection by restricting where accounts and credentials can be used and using local device credential protection features.,CISA_aa22-040a_playbook-aa22-040a.json
22,ACTION,Disable Unneeded Command-Line Utilities,"Disable unneeded command-line utilities, constrain scripting activities and permissions, and monitor their usage.",CISA_aa22-040a_playbook-aa22-040a.json
23,ACTION,Maintain Offline Backups,Maintain offline backups of data and regularly test backup and restoration processes.,CISA_aa22-040a_playbook-aa22-040a.json
24,ACTION,Encrypt and Secure Cloud Backups,"Ensure all backup data is encrypted, immutable, and covers the entire organization’s data infrastructure. Consider storing encryption keys outside the cloud.",CISA_aa22-040a_playbook-aa22-040a.json
25,ACTION,Collect Telemetry from Cloud Environments,Ensure that telemetry from cloud environments is retained and visible to the security team.,CISA_aa22-040a_playbook-aa22-040a.json
26,ACTION,Review CISA-FBI Advisory for Critical Infrastructure,Review joint CISA-FBI Cybersecurity Advisory for additional recommendations to reduce the risk of severe business or functional degradation from ransomware.,CISA_aa22-040a_playbook-aa22-040a.json
27,ACTION,Enable Multifactor Authentication (MFA),Enable MFA for all users without exception to enhance security.,CISA_aa22-047a_playbook-aa22-047a.json
28,ACTION,Reduce Lifetime of Authentication Assertions,Reduce the lifetime of authentication assertions to enforce MFA re-validation.,CISA_aa22-047a_playbook-aa22-047a.json
29,ACTION,Implement Group Managed Service Accounts (gMSA),Use gMSA for service accounts to automate complex password management.,CISA_aa22-047a_playbook-aa22-047a.json
30,ACTION,"Enforce Strong, Unique Passwords","Require accounts to have strong, unique passwords and avoid reuse across multiple accounts.",CISA_aa22-047a_playbook-aa22-047a.json
31,ACTION,Enable Password Management Functions,Enable functions like Local Administrator Password Solution (LAPS) for local administrative accounts.,CISA_aa22-047a_playbook-aa22-047a.json
32,ACTION,Implement Time-out and Lock-out Features,Configure time-out and lock-out features for repeated failed login attempts.,CISA_aa22-047a_playbook-aa22-047a.json
33,ACTION,Configure Time-based Access for Admin Accounts,Use Just-In-Time (JIT) access method for privileged accounts to enforce least privilege.,CISA_aa22-047a_playbook-aa22-047a.json
34,ACTION,Create Centralized Log Management System,Establish a centralized log management system to monitor network activity.,CISA_aa22-047a_playbook-aa22-047a.json
35,ACTION,Forward Logs to SIEM Tool,Forward all logs to a SIEM tool and ensure they are searchable.,CISA_aa22-047a_playbook-aa22-047a.json
36,ACTION,Retain Network Activity Logs,Retain critical and historic network activity logs for a minimum of 180 days.,CISA_aa22-047a_playbook-aa22-047a.json
37,ACTION,Enable Unified Audit Log (UAL) in M365,Enable UAL in M365 to log events from various services.,CISA_aa22-047a_playbook-aa22-047a.json
38,ACTION,Ensure PowerShell Logging is Enabled,Turn on PowerShell logging and update to version 5.0 or later.,CISA_aa22-047a_playbook-aa22-047a.json
39,ACTION,Monitor Remote Access/RDP Logs,Monitor remote access/RDP logs and disable unused ports.,CISA_aa22-047a_playbook-aa22-047a.json
40,ACTION,Correlate Logs from Network and Host Security Devices,Correlate logs from network and host security devices to detect anomalies.,CISA_aa22-047a_playbook-aa22-047a.json
41,ACTION,Implement Centralized Patch Management System,Consider using a centralized patch management system for timely software updates.,CISA_aa22-047a_playbook-aa22-047a.json
42,ACTION,Prioritize Patches for Known Exploited CVEs,Prioritize patches for CVEs known to be exploited or accessible to many adversaries.,CISA_aa22-047a_playbook-aa22-047a.json
43,ACTION,Subscribe to CISA Cybersecurity Notifications,Subscribe to CISA notifications to stay informed about vulnerabilities and threats.,CISA_aa22-047a_playbook-aa22-047a.json
44,ACTION,Sign Up for CISA Cyber Hygiene Services,Use CISA's vulnerability scanning service to reduce exposure to threats.,CISA_aa22-047a_playbook-aa22-047a.json
45,ACTION,Regularly Update VPNs and Network Devices,Update VPNs and network devices with the latest patches and configurations.,CISA_aa22-047a_playbook-aa22-047a.json
46,ACTION,Monitor Network Traffic for Unapproved Protocols,Monitor network traffic for unapproved and unexpected protocols.,CISA_aa22-047a_playbook-aa22-047a.json
47,ACTION,Install Antivirus Applications,Ensure antivirus applications are installed on all computers and configured to prevent malware.,CISA_aa22-047a_playbook-aa22-047a.json
48,ACTION,Keep Virus Definitions Up to Date,Regularly update virus definitions and monitor antivirus scans.,CISA_aa22-047a_playbook-aa22-047a.json
49,ACTION,Utilize Endpoint Detection and Response (EDR) Tools,Use EDR tools for visibility into endpoint security and to detect lateral movement.,CISA_aa22-047a_playbook-aa22-047a.json
50,ACTION,Audit Configuration Management Programs,Audit configuration management programs to track and mitigate emerging threats.,CISA_aa22-047a_playbook-aa22-047a.json
51,ACTION,Apply Principle of Least Privilege,Ensure administrator accounts have minimum permissions needed for tasks.,CISA_aa22-047a_playbook-aa22-047a.json
52,ACTION,Assign Administrator Roles to RBAC in M365,Use RBAC to implement least privilege in M365 and limit Global Administrator use.,CISA_aa22-047a_playbook-aa22-047a.json
53,ACTION,Remove Unnecessary Privileges,Remove privileges not required by an account’s function or role.,CISA_aa22-047a_playbook-aa22-047a.json
54,ACTION,Create Non-Privileged Accounts for Privileged Users,Ensure privileged users have non-privileged accounts for non-privileged access.,CISA_aa22-047a_playbook-aa22-047a.json
55,ACTION,Regularly Audit Administrative User Accounts,Audit administrative user accounts and logs to ensure legitimacy and detect anomalies.,CISA_aa22-047a_playbook-aa22-047a.json
56,ACTION,Review Trust Relationships with IT Service Providers,Review and remove unnecessary trust relationships with MSPs and CSPs.,CISA_aa22-047a_playbook-aa22-047a.json
57,ACTION,Review Contractual Relationships with Service Providers,Ensure contracts include appropriate security controls and monitoring requirements.,CISA_aa22-047a_playbook-aa22-047a.json
58,ACTION,Monitor Service Provider Activities,Monitor service provider activities and connections to the customer network.,CISA_aa22-047a_playbook-aa22-047a.json
59,ACTION,Update Remote Work Environment Devices,Regularly update VPNs and devices used for remote work with the latest patches.,CISA_aa22-047a_playbook-aa22-047a.json
60,ACTION,Require MFA on VPN Connections,Require MFA on all VPN connections to enhance security.,CISA_aa22-047a_playbook-aa22-047a.json
61,ACTION,Monitor Remote Network Traffic,Monitor remote network traffic for unapproved protocols and reduce attack surfaces.,CISA_aa22-047a_playbook-aa22-047a.json
62,ACTION,Provide End User Awareness and Training,"Train employees on cyber threats, social engineering, and information security principles.",CISA_aa22-047a_playbook-aa22-047a.json
63,ACTION,Inform Employees of Social Engineering Risks,Educate employees about the risks of social engineering and how to respond to suspicious activity.,CISA_aa22-047a_playbook-aa22-047a.json
64,ACTION,Establish Reporting Protocols for Suspicious Activity,Ensure employees know whom to contact when they suspect a cyber intrusion.,CISA_aa22-047a_playbook-aa22-047a.json
65,ACTION,Deny Atypical Inbound Activity from Anonymization Services,Block inbound activity from known anonymization services like VPNs and TOR.,CISA_aa22-047a_playbook-aa22-047a.json
66,ACTION,Impose Application Whitelisting Policies,Allow only known and permitted programs to execute under an established security policy.,CISA_aa22-047a_playbook-aa22-047a.json
67,ACTION,Create Offline Backups for Critical Assets,Identify and create offline backups for critical assets to ensure data recovery.,CISA_aa22-047a_playbook-aa22-047a.json
68,ACTION,Implement Network Segmentation,Segment the network to limit the spread of potential threats.,CISA_aa22-047a_playbook-aa22-047a.json
69,ACTION,Review Microsoft Office 365 Security Recommendations,Review CISA Alert AA20-120A for additional recommendations on hardening M365 environments.,CISA_aa22-047a_playbook-aa22-047a.json
70,ACTION,Deploy Application Control Software,Deploy application control software to limit the applications and executable code that can be run by users.,CISA_aa22-055a_playbook-aa22-055a.json
71,ACTION,Restrict Email Attachments and Downloads,Limit email attachments and files downloaded via links in emails to prevent executable code from running.,CISA_aa22-055a_playbook-aa22-055a.json
72,ACTION,Enable Antivirus and Anti-malware Software,Enable antivirus and anti-malware software and update signature definitions in a timely manner to prevent use of commonly deployed attacker tools.,CISA_aa22-055a_playbook-aa22-055a.json
73,ACTION,Implement Multifactor Authentication,"Use multifactor authentication where possible, particularly for webmail, virtual private networks, and accounts that access critical systems.",CISA_aa22-055a_playbook-aa22-055a.json
74,ACTION,Limit Administrator Privileges,Limit the use of administrator privileges to reduce the risk of lateral movement and access to sensitive information.,CISA_aa22-055a_playbook-aa22-055a.json
75,ACTION,Train Users on Phishing Protection,Train users through awareness and simulations to recognize and report phishing and social engineering attempts.,CISA_aa22-055a_playbook-aa22-055a.json
76,ACTION,Adopt Threat Reputation Services,"Adopt threat reputation services at the network device, operating system, application, and email service levels to detect or prevent low-reputation email addresses, files, URLs, and IP addresses used in spearphishing attacks.",CISA_aa22-055a_playbook-aa22-055a.json
77,ACTION,Install Updates and Patches,"Install updates/patch operating systems, software, and firmware as soon as updates/patches are released. Prioritize patching known exploited vulnerabilities.",CISA_aa22-055a_playbook-aa22-055a.json
78,ACTION,Evaluate Network Architecture and Security Baseline,Assess network architecture and security baseline to ensure proper segmentation and access control.,CISA_aa22-057a_playbook-aa22-057a.json
79,ACTION,Assess Enterprise Applications for Malware Delivery Vectors,Evaluate enterprise applications for atypical channels for malware delivery and propagation.,CISA_aa22-057a_playbook-aa22-057a.json
80,ACTION,Implement Network Segmentation and Access Control,Ensure network segmentation and configure network-based ACLs to permit connectivity via the minimum scope of ports and protocols.,CISA_aa22-057a_playbook-aa22-057a.json
81,ACTION,Enforce Multifactor Authentication and Least Privilege,Require multifactor authentication for interactive logons and ensure least privilege for enterprise systems.,CISA_aa22-057a_playbook-aa22-057a.json
82,ACTION,Audit and Review Security Logs,Audit and review security logs for anomalous references to administrative and service accounts.,CISA_aa22-057a_playbook-aa22-057a.json
83,ACTION,Stage and Monitor Patch and AV Signature Distribution,Stage patch and AV signature distribution to minimize impact and monitor integrity of updates.,CISA_aa22-057a_playbook-aa22-057a.json
84,ACTION,Conduct Business Impact Analysis (BIA),Perform a business impact analysis to characterize and classify system components and interdependencies.,CISA_aa22-057a_playbook-aa22-057a.json
85,ACTION,Prepare for Incident Response and Recovery,"Prepare resources and documentation for incident response and recovery, including contact information, secure communication channels, and system backups.",CISA_aa22-057a_playbook-aa22-057a.json
86,ACTION,Containment Strategies for Destructive Malware,"Implement containment strategies to reduce the scope of affected systems, such as isolating systems and disabling access for suspected accounts.",CISA_aa22-057a_playbook-aa22-057a.json
87,ACTION,Report Incidents to FBI and CISA,Report incidents to the FBI and CISA and preserve forensic data for investigation.,CISA_aa22-057a_playbook-aa22-057a.json
88,ACTION,Enforce Multi-Factor Authentication (MFA),"Enforce MFA for all users, without exception. Review configuration policies to protect against 'fail open' and re-enrollment scenarios.",CISA_aa22-074a_playbook-aa22-074a.json
89,ACTION,Implement Account Security Measures,Implement time-out and lock-out features for repeated failed login attempts. Ensure inactive accounts are disabled uniformly across systems.,CISA_aa22-074a_playbook-aa22-074a.json
90,ACTION,Update Software and Patch Vulnerabilities,"Update software, including operating systems, applications, and firmware. Prioritize patching known exploited vulnerabilities, especially critical and high vulnerabilities.",CISA_aa22-074a_playbook-aa22-074a.json
91,ACTION,Enforce Strong Password Policies,"Require all accounts with password logins to have strong, unique passwords. Ensure passwords are not reused across multiple accounts or stored insecurely.",CISA_aa22-074a_playbook-aa22-074a.json
92,ACTION,Monitor Network Logs,Continuously monitor network logs for suspicious activity and unauthorized or unusual login attempts.,CISA_aa22-074a_playbook-aa22-074a.json
93,ACTION,Implement Security Alerting Policies,Implement security alerting policies for changes to security-enabled accounts/groups and alert on suspicious process creation events.,CISA_aa22-074a_playbook-aa22-074a.json
94,ACTION,Deploy Local Administrator Password Solution (LAPS),"Deploy LAPS, enforce SMB Signing, restrict administrative privileges, and review sensitive materials on domain controller’s SYSVOL share.",CISA_aa22-074a_playbook-aa22-074a.json
95,ACTION,Enable Increased Logging and EDR,"Enable increased logging policies, enforce PowerShell logging, and ensure antivirus/EDR are deployed to all endpoints and enabled.",CISA_aa22-074a_playbook-aa22-074a.json
96,ACTION,Monitor Remote Access Logs,Monitor remote access/RDP logs and disable unused remote access/RDP ports.,CISA_aa22-074a_playbook-aa22-074a.json
97,ACTION,Deny Atypical Inbound Activity,"Deny atypical inbound activity from known anonymization services, including commercial VPN services and TOR.",CISA_aa22-074a_playbook-aa22-074a.json
98,ACTION,Implement Application Whitelisting,Implement listing policies for applications and remote access that only allow execution of known and permitted programs.,CISA_aa22-074a_playbook-aa22-074a.json
99,ACTION,Regularly Audit Administrative User Accounts,Regularly audit administrative user accounts and configure access control under the concept of least privilege.,CISA_aa22-074a_playbook-aa22-074a.json
100,ACTION,Update Remote Work Environment Devices,"Regularly update VPNs, network infrastructure devices, and devices used for remote work environments with the latest software patches and security configurations.",CISA_aa22-074a_playbook-aa22-074a.json
101,ACTION,Implement MFA on VPN Connections,Implement multi-factor authentication on all VPN connections. Use physical security tokens or authenticator applications when possible.,CISA_aa22-074a_playbook-aa22-074a.json
102,ACTION,Monitor Network Traffic for Unapproved Protocols,Monitor network traffic for unapproved and unexpected protocols. Reduce potential attack surfaces by discontinuing unused VPN servers.,CISA_aa22-074a_playbook-aa22-074a.json
103,ACTION,Provide End-User Awareness and Training,Provide end-user awareness and training to prevent targeted social engineering and spearphishing scams. Ensure employees are aware of potential cyber threats and delivery methods.,CISA_aa22-074a_playbook-aa22-074a.json
104,ACTION,Inform Employees of Risks on Networking Sites,Inform employees of the risks associated with posting detailed career information to social or professional networking sites.,CISA_aa22-074a_playbook-aa22-074a.json
105,ACTION,Establish Reporting Protocols for Suspicious Activity,Ensure employees know what to do and whom to contact when they see suspicious activity or suspect a cyberattack.,CISA_aa22-074a_playbook-aa22-074a.json
106,ACTION,Implement Additional Monitoring for SATCOM Network Providers,"Put in place additional monitoring at ingress and egress points to SATCOM equipment to look for anomalous traffic, such as insecure remote access tools, unexpected network traffic, unauthorized account usage, and brute force login attempts.",CISA_aa22-076a_playbook-aa22-076a.json
107,ACTION,Use Secure Authentication Methods,"Use secure methods for authentication, including multifactor authentication where possible, for all accounts used to access, manage, and/or administer SATCOM networks.",CISA_aa22-076a_playbook-aa22-076a.json
108,ACTION,Enforce Strong Password Policies,"Use and enforce strong, complex passwords. Review password policies to ensure they align with the latest NIST guidelines. Do not use default credentials or weak passwords.",CISA_aa22-076a_playbook-aa22-076a.json
109,ACTION,Audit Accounts and Credentials,Audit accounts and credentials: remove terminated or unnecessary accounts; change expired credentials.,CISA_aa22-076a_playbook-aa22-076a.json
110,ACTION,Enforce Principle of Least Privilege,Enforce principle of least privilege through authorization policies. Minimize unnecessary privileges for identities.,CISA_aa22-076a_playbook-aa22-076a.json
111,ACTION,Review Trust Relationships,Review existing trust relationships with IT service providers. Remove unnecessary trust relationships.,CISA_aa22-076a_playbook-aa22-076a.json
112,ACTION,Review Contractual Relationships with Service Providers,"Ensure contracts include appropriate provisions addressing security, such as monitoring and logging of provider-managed customer systems and notification of security events.",CISA_aa22-076a_playbook-aa22-076a.json
113,ACTION,Implement Independent Encryption,"Implement independent encryption across all communications links leased from, or provided by, your SATCOM provider.",CISA_aa22-076a_playbook-aa22-076a.json
114,ACTION,Strengthen Security of Systems,"Strengthen the security of operating systems, software, and firmware. Ensure robust vulnerability management and patching practices are in place.",CISA_aa22-076a_playbook-aa22-076a.json
115,ACTION,Implement Configuration Management Programs,Implement rigorous configuration management programs. Regularly audit system configurations for misconfigurations and security weaknesses.,CISA_aa22-076a_playbook-aa22-076a.json
116,ACTION,Monitor Network Logs for Suspicious Activity,Monitor network logs for suspicious activity and unauthorized or unusual login attempts. Integrate SATCOM traffic into existing network security monitoring tools.,CISA_aa22-076a_playbook-aa22-076a.json
117,ACTION,Review Logs of Systems Behind SATCOM Terminals,Review logs of systems behind SATCOM terminals for suspicious activity. Ingest system and network generated logs into your enterprise security information and event management (SIEM) tool.,CISA_aa22-076a_playbook-aa22-076a.json
118,ACTION,Implement Endpoint Detection and Response (EDR) Tools,"Implement endpoint detection and response (EDR) tools where possible on devices behind SATCOM terminals, and ingest into the SIEM.",CISA_aa22-076a_playbook-aa22-076a.json
119,ACTION,Expand and Enhance Monitoring of SATCOM Network Segments,Expand monitoring to include ingress and egress traffic transiting SATCOM links and monitor for suspicious or anomalous network activity.,CISA_aa22-076a_playbook-aa22-076a.json
120,ACTION,Baseline SATCOM Network Traffic,"Baseline SATCOM network traffic to determine what is normal and investigate deviations, such as large spikes in traffic.",CISA_aa22-076a_playbook-aa22-076a.json
121,ACTION,Create and Maintain Cyber Incident Response Plans,"Create, maintain, and exercise a cyber incident response plan, resilience plan, and continuity of operations plan for SATCOM networks.",CISA_aa22-076a_playbook-aa22-076a.json
122,ACTION,Review and Implement Security Controls,"Review and implement security controls deemed appropriate by the customer, ensuring monitoring and logging of provider-managed customer systems.",CISA_aa22-076a_playbook-aa22-076a.json
123,ACTION,Manage Privileged Accounts,"Manage the creation, modification, use, and permissions associated with privileged accounts, including SYSTEM and root.",CISA_aa22-083a_playbook-aa22-083a.json
124,ACTION,Enforce Secure Password Policies,Set and enforce secure password policies for accounts.,CISA_aa22-083a_playbook-aa22-083a.json
125,ACTION,Remove Unnecessary Software,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,CISA_aa22-083a_playbook-aa22-083a.json
126,ACTION,Perform System Audits,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc., to identify potential weaknesses.",CISA_aa22-083a_playbook-aa22-083a.json
127,ACTION,Make Configuration Changes for System Hardening,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.,CISA_aa22-083a_playbook-aa22-083a.json
128,ACTION,Enforce Multifactor Authentication (MFA),Enforce MFA by requiring users to provide two or more pieces of information to authenticate to a system.,CISA_aa22-083a_playbook-aa22-083a.json
129,ACTION,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.,CISA_aa22-083a_playbook-aa22-083a.json
130,ACTION,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information.",CISA_aa22-083a_playbook-aa22-083a.json
131,ACTION,Use DMZ for Internet-facing Services,Use a demilitarized zone (DMZ) to contain any internet-facing services that should not be exposed from the internal network.,CISA_aa22-083a_playbook-aa22-083a.json
132,ACTION,Prevent Access to Unnecessary Services,"Prevent access to file shares, remote access to systems, and unnecessary services using network concentrators, RDP gateways, etc.",CISA_aa22-083a_playbook-aa22-083a.json
133,ACTION,Block Code Execution,"Block execution of code on a system through application control, and/or script blocking.",CISA_aa22-083a_playbook-aa22-083a.json
134,ACTION,Update All Software,Update all software to the latest versions to ensure security patches are applied.,CISA_aa22-083a_playbook-aa22-083a.json
135,ACTION,Implement Network Segmentation,Implement robust network segmentation between IT and ICS networks to limit lateral movement.,CISA_aa22-083a_playbook-aa22-083a.json
136,ACTION,Design ICS Network Topology,"Implement a network topology for ICS with multiple layers, with the most critical communications in the most secure layer.",CISA_aa22-083a_playbook-aa22-083a.json
137,ACTION,Apply Further Segmentation,Apply further segmentation to portions of the network that are reliant on one another by functionality.,CISA_aa22-083a_playbook-aa22-083a.json
138,ACTION,Use One-way Communication Diodes,"Use one-way communication diodes to prevent external access, whenever possible.",CISA_aa22-083a_playbook-aa22-083a.json
139,ACTION,Set Up DMZs,Set up DMZs to create a physical and logical subnetwork that acts as an intermediary for connected security devices.,CISA_aa22-083a_playbook-aa22-083a.json
140,ACTION,Employ Reliable Network Security Protocols,Employ reliable network security protocols and services where feasible.,CISA_aa22-083a_playbook-aa22-083a.json
141,ACTION,Use VLANs for Additional Segmentation,"Consider using VLANs for additional network segmentation, such as placing all printers in separate VLANs.",CISA_aa22-083a_playbook-aa22-083a.json
142,ACTION,Implement Perimeter Security,Implement perimeter security between network segments to limit lateral movement.,CISA_aa22-083a_playbook-aa22-083a.json
143,ACTION,Control Traffic Between Network Segments,"Control traffic between network segments using firewalls, IDSs, and filtering rules on routers and switches.",CISA_aa22-083a_playbook-aa22-083a.json
144,ACTION,Implement Network Monitoring,Implement network monitoring at key chokepoints and at key assets or services.,CISA_aa22-083a_playbook-aa22-083a.json
145,ACTION,Configure IDS for ICS Traffic,Configure an IDS to create alarms for any ICS traffic outside normal operations.,CISA_aa22-083a_playbook-aa22-083a.json
146,ACTION,Configure Security Incident and Event Monitoring,Configure security incident and event monitoring to analyze and correlate event logs from across the ICS network.,CISA_aa22-083a_playbook-aa22-083a.json
147,ACTION,Test Patches in Out-of-band Environments,Test all patches in out-of-band testing environments before implementation into production environments.,CISA_aa22-083a_playbook-aa22-083a.json
148,ACTION,Implement Application Allow Listing,Implement application allow listing on human machine interfaces and engineering workstations.,CISA_aa22-083a_playbook-aa22-083a.json
149,ACTION,Harden Software Configuration on Field Devices,"Harden software configuration on field devices, including tablets and smartphones.",CISA_aa22-083a_playbook-aa22-083a.json
150,ACTION,Replace End-of-life Software and Hardware,Replace all end-of-life software and hardware devices.,CISA_aa22-083a_playbook-aa22-083a.json
151,ACTION,Disable Unused Ports and Services,Disable unused ports and services on ICS devices after testing to ensure this will not affect ICS operation.,CISA_aa22-083a_playbook-aa22-083a.json
152,ACTION,Restrict and Manage Remote Access Software,Restrict and manage remote access software.,CISA_aa22-083a_playbook-aa22-083a.json
153,ACTION,Enforce MFA for Remote Access,Enforce MFA for remote access to ICS networks.,CISA_aa22-083a_playbook-aa22-083a.json
154,ACTION,Configure Encryption for Network Protocols,Configure encryption and security for network protocols within the ICS environment.,CISA_aa22-083a_playbook-aa22-083a.json
155,ACTION,Disallow Vendor Device Connections,Do not allow vendors to connect their devices to the ICS network.,CISA_aa22-083a_playbook-aa22-083a.json
156,ACTION,Disallow Transient Device Communication,Disallow any devices that do not live solely on the ICS environment from communicating on the platform.,CISA_aa22-083a_playbook-aa22-083a.json
157,ACTION,Maintain ICS Asset Inventory,"Maintain an ICS asset inventory of all hardware, software, and supporting infrastructure technologies.",CISA_aa22-083a_playbook-aa22-083a.json
158,ACTION,Maintain Robust Host Logging,Maintain robust host logging on critical devices within the ICS environment.,CISA_aa22-083a_playbook-aa22-083a.json
159,ACTION,Ensure Robust Physical Security,Ensure robust physical security is in place to prevent unauthorized access to controlled spaces housing ICS equipment.,CISA_aa22-083a_playbook-aa22-083a.json
160,ACTION,Regularly Test Manual Controls,Regularly test manual controls to ensure critical functions can continue if ICS/OT networks are taken offline.,CISA_aa22-083a_playbook-aa22-083a.json
161,ACTION,Isolate ICS/SCADA Systems,"Isolate ICS/SCADA systems and networks from corporate and internet networks using strong perimeter controls, and limit any communications entering or leaving ICS/SCADA perimeters.",CISA_aa22-103a_playbook-aa22-103a.json
162,ACTION,Enforce Multifactor Authentication,Enforce multifactor authentication for all remote access to ICS networks and devices whenever possible.,CISA_aa22-103a_playbook-aa22-103a.json
163,ACTION,Develop and Exercise Cyber Incident Response Plan,"Have a cyber incident response plan, and exercise it regularly with stakeholders in IT, cybersecurity, and operations.",CISA_aa22-103a_playbook-aa22-103a.json
164,ACTION,Change ICS/SCADA Passwords Regularly,"Change all passwords to ICS/SCADA devices and systems on a consistent schedule, especially all default passwords, to device-unique strong passwords to mitigate password brute force attacks.",CISA_aa22-103a_playbook-aa22-103a.json
165,ACTION,Configure OPC UA Security,Ensure OPC UA security is correctly configured with application authentication enabled and explicit trust lists.,CISA_aa22-103a_playbook-aa22-103a.json
166,ACTION,Secure OPC UA Certificate Private Keys,Ensure the OPC UA certificate private keys and user passwords are stored securely.,CISA_aa22-103a_playbook-aa22-103a.json
167,ACTION,Maintain Offline Backups,"Maintain known-good offline backups for faster recovery upon a disruptive attack, and conduct hashing and integrity checks on firmware and controller configuration files to ensure validity of those backups.",CISA_aa22-103a_playbook-aa22-103a.json
168,ACTION,Limit Network Connections,Limit ICS/SCADA systems’ network connections to only specifically allowed management and engineering workstations.,CISA_aa22-103a_playbook-aa22-103a.json
169,ACTION,Protect Management Systems,"Robustly protect management systems by configuring Device Guard, Credential Guard, and Hypervisor Code Integrity (HVCI).",CISA_aa22-103a_playbook-aa22-103a.json
170,ACTION,Install EDR Solutions,Install Endpoint Detection and Response (EDR) solutions on these subnets and ensure strong anti-virus file reputation settings are configured.,CISA_aa22-103a_playbook-aa22-103a.json
171,ACTION,Implement Log Collection and Retention,Implement robust log collection and retention from ICS/SCADA systems and management subnets.,CISA_aa22-103a_playbook-aa22-103a.json
172,ACTION,Leverage Continuous OT Monitoring,"Leverage a continuous OT monitoring solution to alert on malicious indicators and behaviors, watching internal systems and communications for known hostile actions and lateral movement.",CISA_aa22-103a_playbook-aa22-103a.json
